gender;spkid;vowel;f0;F1;F2;F3
M;13;EH;125.;500.;1780.;2430.
M;13;AE;125.;660.;1630.;2500.
M;13;AE;132.;670.;1630.;2380.
M;13;AH;140.;600.;1220.;2530.
M;13;AH;125.;600.;1210.;2430.
M;13;AA;125.;680.;1120.;2630.
M;13;AA;128.;670.;1100.;2700.
M;13;AO;127.;510.;720.;2450.
M;13;AO;120.;480.;710.;2540.
M;13;UH;133.;380.;910.;2350.
M;13;UH;140.;440.;1030.;2400.
M;13;UW;127.;350.;720.;2750.
M;13;UW;140.;380.;740.;2880.
M;13;ER;128.;430.;1370.;1610.
M;13;ER;135.;440.;1360.;1600.
M;14;IY;114.;228.;2350.;2860.
M;14;IY;118.;220.;2350.;2920.
M;14;IH;110.;407.;2070.;2500.
M;14;IH;112.;420.;1900.;2450.
M;14;EH;106.;445.;2020.;2420.
M;14;EH;115.;470.;2020.;2500.
M;14;AE;103.;721.;1680.;2400.
M;14;AE;109.;750.;1710.;2440.
M;14;AH;104.;552.;1122.;2500.
M;14;AH;115.;580.;1150.;2600.
M;14;AA;98.;686.;1078.;2570.
M;14;AA;103.;700.;1050.;2680.
M;14;AO;102.;560.;665.;2620.
M;14;AO;106.;550.;650.;2700.
M;14;UH;112.;448.;980.;2370.
M;14;UH;104.;410.;940.;2370.
M;14;UW;116.;232.;696.;2200.
M;14;UW;117.;222.;665.;2080.
M;14;ER;120.;432.;1300.;1400.
M;14;ER;111.;420.;1300.;1570.
M;15;IY;121.;230.;2100.;2850.
M;15;IY;118.;240.;2000.;2980.
M;15;IH;130.;365.;1900.;2340.
M;15;IH;119.;300.;2040.;2560.
M;15;EH;112.;440.;1980.;2310.
M;15;EH;120.;410.;2050.;2500.
M;15;AE;133.;620.;1710.;2110.
M;15;AE;124.;660.;1800.;2150.
M;15;AH;120.;660.;1000.;2380.
M;15;AH;110.;660.;960.;2450.
M;15;AA;122.;600.;830.;2250.
M;15;AA;119.;620.;820.;2400.
M;15;AO;117.;500.;620.;2250.
M;15;AO;106.;550.;700.;2550.
M;15;UH;140.;390.;730.;2180.
M;15;UH;130.;360.;740.;2200.
M;15;UW;131.;260.;720.;2100.
M;15;UW;132.;260.;740.;2040.
M;15;ER;125.;450.;1230.;1600.
M;15;ER;127.;460.;1300.;1650.
M;16;IY;150.;300.;2355.;3250.
M;16;IY;150.;300.;2460.;3280.
M;16;IH;160.;385.;2242.;2805.
M;16;IH;150.;407.;2250.;2780.
M;16;EH;140.;504.;2090.;2720.
M;16;EH;146.;543.;1980.;2640.
M;16;AE;133.;680.;1958.;2542.
M;16;AE;141.;708.;1840.;2535.
M;16;AH;150.;675.;1320.;2550.
M;16;AH;150.;704.;1393.;2550.
M;16;AA;137.;825.;1168.;2750.
M;16;AA;135.;840.;1210.;2680.
M;16;AO;143.;671.;1000.;2670.
M;16;AO;147.;690.;968.;2660.
M;16;UH;143.;443.;1273.;2430.
M;16;UH;153.;459.;1286.;2410.
M;16;UW;146.;395.;1300.;2160.
M;16;UW;153.;400.;1320.;2150.
M;16;ER;140.;532.;1500.;1890.
M;16;ER;146.;538.;1460.;1818.
M;17;IY;120.;264.;2290.;2700.
M;17;IY;128.;256.;2305.;2635.
M;17;IH;112.;380.;1880.;2440.
M;17;IH;115.;346.;1930.;2390.
M;17;EH;100.;510.;1780.;2300.
M;17;EH;108.;520.;1730.;2275.
M;17;AE;100.;630.;1770.;2350.
M;17;AE;105.;630.;1642.;2170.
M;17;AH;103.;601.;1273.;2130.
M;17;AH;105.;590.;1283.;2150.
M;17;AA;100.;750.;1150.;2440.
M;17;AA;95.;703.;1092.;2320.
M;17;AO;97.;565.;780.;2350.
M;17;AO;106.;584.;849.;2460.
M;17;UH;105.;420.;1100.;2140.
M;17;UH;111.;422.;1200.;2175.
M;17;UW;117.;315.;1080.;2260.
M;17;UW;125.;326.;1125.;2210.
M;17;ER;111.;444.;1300.;1625.
M;17;ER;109.;469.;1288.;1600.
M;18;IY;124.;210.;2100.;3090.
M;18;IY;130.;220.;2080.;3180.
M;18;IH;128.;280.;2000.;2710.
M;18;IH;130.;310.;1950.;2670.
M;18;EH;121.;470.;1910.;2580.
M;18;EH;129.;490.;1930.;2650.
M;18;AE;116.;640.;1620.;2200.
M;18;AE;118.;650.;1580.;2360.
M;18;AH;121.;610.;1100.;2230.
M;18;AH;126.;620.;1120.;2330.
M;18;AA;118.;700.;1100.;2240.
M;18;AA;120.;670.;1100.;2220.
M;18;AO;122.;460.;720.;2180.
M;18;AO;118.;470.;690.;2200.
M;18;UH;129.;320.;770.;1860.
M;18;UH;130.;310.;790.;1920.
M;18;UW;140.;210.;670.;1900.
M;18;UW;148.;240.;730.;1850.
M;18;ER;128.;390.;1320.;1550.
M;18;ER;124.;420.;1240.;1510.
M;19;IY;129.;190.;2650.;3280.
M;19;IY;135.;190.;2700.;3170.
M;19;IH;132.;370.;1750.;2700.
M;19;IH;130.;370.;1800.;2750.
M;19;EH;122.;370.;1680.;2560.
M;19;EH;125.;375.;1700.;2500.
M;19;AE;121.;550.;1570.;2600.
M;19;AE;120.;530.;1610.;2650.
M;19;AH;118.;570.;1050.;2500.
M;19;AH;125.;590.;1100.;2480.
M;19;AA;112.;640.;970.;2870.
M;19;AA;122.;670.;980.;2900.
M;19;AO;113.;560.;860.;2900.
M;19;AO;121.;570.;820.;2820.
M;19;UH;125.;350.;1000.;2500.
M;19;UH;130.;380.;920.;2370.
M;19;UW;130.;250.;1000.;2100.
M;19;UW;140.;210.;960.;1940.
M;19;ER;130.;360.;1300.;1920.
M;19;ER;133.;370.;1300.;1760.
M;20;IY;127.;250.;2180.;2660.
M;20;IY;131.;260.;2210.;2780.
M;20;IH;121.;400.;1900.;2440.
M;20;IH;122.;350.;1980.;2480.
M;20;EH;116.;560.;1670.;2310.
M;20;EH;124.;530.;1700.;2380.
M;20;AE;120.;680.;1470.;2280.
M;20;AE;119.;620.;1580.;2320.
M;20;AH;120.;620.;1100.;2390.
M;20;AH;125.;640.;1110.;2370.
M;20;AA;115.;630.;980.;2330.
M;20;AA;121.;670.;940.;2380.
M;20;AO;112.;560.;790.;2480.
M;20;AO;120.;610.;840.;2420.
M;20;UH;121.;360.;860.;2200.
M;20;UH;120.;400.;840.;2200.
M;20;UW;140.;280.;670.;2140.
M;20;UW;126.;250.;720.;2190.
M;20;ER;120.;480.;1410.;1760.
M;20;ER;121.;470.;1330.;1700.
M;21;IY;155.;280.;2400.;2910.
M;21;IY;150.;300.;2320.;2960.
M;21;IH;142.;410.;2060.;2680.
M;21;IH;150.;450.;2050.;2670.
M;21;EH;135.;540.;1900.;2530.
M;21;EH;135.;540.;1920.;2520.
M;21;AE;138.;620.;1800.;2440.
M;21;AE;140.;690.;1820.;2480.
M;21;AH;150.;630.;1200.;2600.
M;21;AH;140.;680.;1290.;2600.
M;21;AA;145.;740.;1110.;2500.
M;21;AA;143.;700.;1060.;2720.
M;21;AO;146.;600.;970.;2570.
M;21;AO;138.;650.;880.;2660.
M;21;UH;142.;430.;1130.;2440.
M;21;UH;143.;430.;1150.;2420.
M;21;UW;142.;280.;990.;2330.
M;21;UW;145.;290.;1000.;2300.
M;21;ER;150.;420.;1350.;1600.
M;21;ER;150.;450.;1350.;1600.
M;22;IY;135.;300.;2300.;2800.
M;22;IY;135.;350.;2240.;2760.
M;22;IH;136.;410.;2200.;2680.
M;22;IH;138.;440.;2080.;2520.
M;22;EH;133.;580.;1870.;2320.
M;22;EH;127.;520.;1900.;2400.
M;22;AE;130.;760.;1920.;2480.
M;22;AE;132.;670.;1850.;2560.
M;22;AH;139.;810.;1110.;2100.
M;22;AH;131.;770.;1150.;2100.
M;22;AA;141.;700.;1040.;2120.
M;22;AA;125.;750.;1160.;2080.
M;22;AO;133.;670.;920.;2240.
M;22;AO;142.;570.;850.;2250.
M;22;UH;140.;550.;970.;2200.
M;22;UH;141.;490.;870.;2240.
M;22;UW;150.;300.;600.;2300.
M;22;UW;148.;230.;570.;2100.
M;22;ER;140.;560.;1520.;2100.
M;22;ER;140.;540.;1570.;2050.
M;23;IY;125.;240.;2100.;2900.
M;23;IY;119.;240.;2150.;2860.
M;23;IH;130.;380.;1870.;2450.
M;23;IH;120.;430.;1710.;2350.
M;23;EH;119.;580.;1770.;2500.
M;23;EH;117.;570.;1750.;2400.
M;23;AE;115.;760.;1580.;2440.
M;23;AE;110.;715.;1500.;2300.
M;23;AH;124.;620.;880.;2500.
M;23;AH;124.;650.;1000.;2520.
M;23;AA;119.;710.;950.;2520.
M;23;AA;120.;690.;960.;2520.
M;23;AO;125.;460.;610.;2500.
M;23;AO;120.;470.;710.;2500.
M;23;UH;125.;390.;900.;2100.
M;23;UH;125.;460.;920.;2140.
M;23;UW;125.;250.;690.;2080.
M;23;UW;130.;270.;650.;2050.
M;23;ER;122.;540.;1280.;1720.
M;23;ER;118.;510.;1280.;1650.
M;24;IY;148.;280.;2450.;2700.
M;24;IY;160.;288.;2500.;2880.
M;24;IH;160.;400.;2080.;2530.
M;24;IH;153.;384.;2110.;2500.
M;24;EH;138.;590.;1900.;2200.
M;24;EH;153.;583.;1840.;2250.
M;24;AE;145.;680.;1850.;2400.
M;24;AE;140.;685.;1780.;2160.
M;24;AH;143.;660.;1370.;2110.
M;24;AH;145.;680.;1300.;2100.
M;24;AA;140.;760.;1260.;2120.
M;24;AA;135.;770.;1140.;2020.
M;24;AO;145.;500.;800.;1850.
M;24;AO;132.;600.;1000.;2000.
M;24;UH;157.;380.;1060.;1950.
M;24;UH;150.;470.;1220.;2150.
M;24;UW;162.;324.;800.;2220.
M;24;UW;139.;290.;800.;2150.
M;24;ER;150.;560.;1350.;1780.
M;24;ER;150.;600.;1470.;1820.
M;25;IY;110.;250.;2190.;3000.
M;25;IY;106.;254.;2085.;2890.
M;25;IH;111.;330.;1967.;2670.
M;25;IH;108.;430.;1940.;2590.
M;25;EH;116.;464.;2100.;2700.
M;25;EH;105.;504.;1995.;2780.
M;25;AE;94.;595.;1900.;2700.
M;25;AE;100.;670.;1860.;2500.
M;25;AH;96.;620.;1200.;2420.
M;25;AH;105.;630.;1127.;2420.
M;25;AA;100.;750.;1160.;2360.
M;25;AA;96.;740.;1155.;2330.
M;25;AO;101.;460.;740.;2300.
M;25;AO;105.;494.;789.;2420.
M;25;UH;113.;400.;1020.;2200.
M;25;UH;128.;450.;1028.;2160.
M;25;UW;140.;392.;1000.;2120.
M;25;UW;116.;350.;898.;2140.
M;25;ER;117.;547.;1340.;1688.
M;25;ER;128.;512.;1280.;1570.
M;26;IY;123.;246.;2185.;2730.
M;26;IY;133.;267.;2280.;2800.
M;26;IH;140.;420.;2300.;2800.
M;26;IH;120.;384.;2110.;2620.
M;26;EH;120.;480.;1920.;2540.
M;26;EH;112.;551.;1788.;2450.
M;26;AE;114.;628.;1837.;2570.
M;26;AE;111.;622.;1890.;2560.
M;26;AH;114.;628.;1254.;2470.
M;26;AH;114.;617.;1255.;2480.
M;26;AA;117.;690.;1072.;2660.
M;26;AA;103.;630.;1000.;2530.
M;26;AO;117.;510.;700.;2650.
M;26;AO;120.;504.;756.;2540.
M;26;UH;122.;465.;990.;2440.
M;26;UH;125.;462.;976.;2450.
M;26;UW;120.;324.;708.;2440.
M;26;UW;157.;387.;786.;2518.
M;26;ER;122.;488.;1468.;1712.
M;26;ER;118.;472.;1465.;1725.
M;27;IY;138.;275.;2060.;2800.
M;27;IY;136.;270.;2020.;2790.
M;27;IH;133.;349.;2030.;2760.
M;27;IH;136.;340.;1940.;2560.
M;27;EH;120.;444.;1800.;2500.
M;27;EH;127.;380.;1800.;2440.
M;27;AE;125.;688.;1600.;2300.
M;27;AE;122.;660.;1570.;2380.
M;27;AH;128.;565.;1157.;2310.
M;27;AH;130.;550.;1150.;2250.
M;27;AA;125.;712.;1024.;2250.
M;27;AA;125.;670.;1080.;2300.
M;27;AO;125.;550.;913.;2360.
M;27;AO;126.;550.;890.;2280.
M;27;UH;128.;360.;1028.;2160.
M;27;UH;140.;390.;1060.;2150.
M;27;UW;133.;294.;930.;2050.
M;27;UW;140.;280.;1000.;2160.
M;27;ER;125.;440.;1250.;1625.
M;27;ER;130.;480.;1160.;1520.
M;28;IY;125.;320.;2160.;2900.
M;28;IY;133.;267.;2230.;3000.
M;28;IH;115.;440.;1750.;2400.
M;28;IH;116.;390.;1780.;2450.
M;28;EH;117.;525.;1800.;2480.
M;28;EH;110.;520.;1750.;2390.
M;28;AE;111.;660.;1600.;2400.
M;28;AE;120.;720.;1680.;2430.
M;28;AH;117.;600.;1250.;2300.
M;28;AH;125.;575.;1170.;2240.
M;28;AA;111.;730.;1160.;2340.
M;28;AA;117.;860.;1280.;2470.
M;28;AO;114.;560.;810.;2290.
M;28;AO;116.;584.;840.;2280.
M;28;UH;130.;455.;970.;2140.
M;28;UH;120.;456.;1040.;2038.
M;28;UW;125.;350.;820.;2130.
M;28;UW;128.;366.;772.;2058.
M;28;ER;111.;450.;1420.;1870.
M;28;ER;118.;472.;1430.;1840.
M;29;IY;133.;333.;2305.;3200.
M;29;IY;131.;326.;2260.;3030.
M;29;IH;125.;375.;2188.;2750.
M;29;IH;133.;400.;2150.;2680.
M;29;EH;125.;500.;1980.;2480.
M;29;EH;150.;480.;1950.;2340.
M;29;AE;116.;640.;1710.;2450.
M;29;AE;123.;615.;1720.;2220.
M;29;AH;116.;583.;1110.;2360.
M;29;AH;117.;608.;1120.;2700.
M;29;AA;111.;777.;1170.;2600.
M;29;AA;114.;750.;1175.;2820.
M;29;AO;105.;630.;891.;2519.
M;29;AO;114.;572.;924.;2660.
M;29;UH;125.;438.;975.;2300.
M;29;UH;140.;420.;938.;2300.
M;29;UW;133.;333.;800.;2130.
M;29;UW;140.;320.;840.;2150.
M;29;ER;120.;480.;1320.;1870.
M;29;ER;127.;483.;1335.;1844.
M;30;IY;166.;267.;2300.;2940.
M;30;IY;156.;220.;2300.;2900.
M;30;IH;154.;431.;2040.;2460.
M;30;IH;155.;360.;2010.;2400.
M;30;EH;150.;565.;1950.;2500.
M;30;EH;180.;540.;2000.;2450.
M;30;AE;143.;600.;2000.;2570.
M;30;AE;138.;590.;1950.;2460.
M;30;AH;157.;630.;1140.;2200.
M;30;AH;186.;630.;1170.;2280.
M;30;AA;146.;730.;1048.;2450.
M;30;AA;155.;730.;1130.;2320.
M;30;AO;150.;600.;900.;2400.
M;30;AO;178.;640.;890.;2280.
M;30;UH;160.;448.;960.;2200.
M;30;UH;196.;450.;1000.;2180.
M;30;UW;167.;333.;835.;2170.
M;30;UW;198.;280.;750.;2170.
M;30;ER;163.;488.;1300.;1600.
M;30;ER;163.;490.;1380.;1620.
M;31;IY;120.;312.;2380.;2900.
M;31;IY;120.;300.;2350.;3000.
M;31;IH;140.;490.;2000.;2620.
M;31;IH;140.;490.;1960.;2600.
M;31;EH;125.;640.;2000.;2620.
M;31;EH;111.;555.;1870.;2540.
M;31;AE;112.;697.;1610.;2540.
M;31;AE;114.;684.;1634.;2510.
M;31;AH;115.;633.;1260.;2530.
M;31;AH;120.;660.;1213.;2460.
M;31;AA;112.;730.;1203.;2700.
M;31;AA;107.;752.;1125.;2620.
M;31;AO;108.;507.;755.;2420.
M;31;AO;116.;538.;816.;2450.
M;31;UH;114.;456.;1040.;2300.
M;31;UH;120.;480.;1120.;2160.
M;31;UW;123.;344.;960.;2150.
M;31;UW;125.;350.;1000.;2250.
M;31;ER;112.;539.;1370.;1800.
M;31;ER;117.;549.;1353.;1728.
M;32;IY;146.;292.;2500.;3150.
M;32;IY;133.;266.;2370.;3100.
M;32;IH;143.;372.;2220.;2640.
M;32;IH;131.;350.;2130.;2610.
M;32;EH;133.;574.;1840.;2260.
M;32;EH;133.;563.;1960.;2450.
M;32;AE;125.;650.;1738.;2400.
M;32;AE;130.;663.;1820.;2400.
M;32;AH;137.;600.;1370.;2180.
M;32;AH;125.;625.;1312.;2250.
M;32;AA;133.;735.;1070.;2100.
M;32;AA;117.;713.;1180.;2200.
M;32;AO;125.;625.;875.;2180.
M;32;AO;115.;700.;1000.;2250.
M;32;UH;150.;420.;1100.;2000.
M;32;UH;140.;420.;1120.;2100.
M;32;UW;125.;350.;980.;2200.
M;32;UW;133.;320.;918.;2100.
M;32;ER;143.;554.;1480.;1800.
M;32;ER;128.;484.;1505.;1890.
M;33;IY;143.;286.;2415.;2860.
M;33;IY;150.;300.;2415.;2860.
M;33;IH;140.;400.;1980.;2500.
M;33;IH;145.;407.;2095.;2620.
M;33;EH;125.;525.;1988.;2610.
M;33;EH;144.;553.;1935.;2530.
M;33;AE;133.;640.;1773.;2490.
M;33;AE;133.;640.;1840.;2560.
M;33;AH;143.;672.;1272.;2640.
M;33;AH;146.;658.;1241.;2560.
M;33;AA;130.;780.;1170.;2640.
M;33;AA;131.;788.;1115.;2645.
M;33;AO;138.;633.;891.;2500.
M;33;AO;150.;600.;935.;2550.
M;33;UH;175.;490.;1102.;2420.
M;33;UH;154.;492.;1077.;2306.
M;33;UW;160.;320.;960.;2240.
M;33;UW;160.;320.;960.;2290.
M;33;ER;143.;543.;1310.;1643.
M;33;ER;145.;508.;1309.;1600.
W;34;IY;230.;370.;2670.;3100.
W;34;IY;234.;390.;2760.;3060.
W;34;IH;234.;468.;2330.;2930.
W;34;IH;205.;410.;2380.;2950.
W;34;EH;190.;550.;2200.;2880.
W;34;EH;191.;570.;2100.;3040.
W;34;AE;200.;800.;1980.;2810.
W;34;AE;192.;860.;1920.;2850.
W;34;AH;227.;635.;1200.;3250.
W;34;AH;200.;700.;1200.;3100.
W;34;AA;210.;880.;1240.;2870.
